id,name,edition,start_date,end_date,date_status,typical_timing,city,country,region,venue,vertical,audience_size,audience_size_num,audience_size_basis,segment_rating,segment_evidence,persona_rating,persona_evidence,fx_rating,fx_evidence,concentration_rating,concentration_evidence,data_confidence,data_confidence_note,source_urls
money2020-usa,Money20/20 USA,2026,2026-10-18,2026-10-21,Confirmed,,Las Vegas,USA,North America,The Venetian,Payments,"11,000+ attendees, 85+ countries",11000,"Organizer, 2026 attend page",3,"Payments-first show: organizer lists banks, payments, tech, retail and startups; PSPs and fintechs are a primary audience alongside banks.",2,"1 in 3 attendees is C-suite (organizer), but spread across banks, vendors and tech as well as payments companies.",2,'Borderless Financial Architecture' (cross-border modernisation) is one of the four 2026 content pillars.,1,"Very broad 11,000+ crowd (banking, fraud, retail, crypto): Grain-relevant people are a small fraction.",High,Organizer publishes C-suite share and sector list.,https://us.money2020.com/attend ; https://us.money2020.com/agenda/content-pillars
money2020-europe,Money20/20 Europe,2027,2027-06-08,2027-06-10,Confirmed,,Amsterdam,Netherlands,Europe,RAI Amsterdam,Payments,"7,400+ attendees, 2,300+ companies, 100+ countries (2026 edition)",7400,Organizer figures quoted by Vestbee,3,"Payments-first show: organizer lists banks, payments, tech, startups and retail as its core sectors.",2,"1 in 3 attendees is C-suite (organizer), spread across banks, vendors, policy, crypto and cyber as well as payments.",2,Pan-European room from 100+ countries; European payments firms are inherently multi-currency (our reading). Cross-border is not a named 2026 pillar.,1,"Broad crowd: the organizer's sector list runs to policy, crypto and cyber security.",High,Organizer publishes C-suite share and sector list; FX rating is our inference.,https://europe.money2020.com/ ; https://europe.money2020.com/agenda/content-pillars ; https://www.vestbee.com/insights/articles/money20-20-europe-2026
mpe,Merchant Payments Ecosystem (MPE),2027,2027-03-09,2027-03-11,Confirmed,,Berlin,Germany,Europe,InterContinental Berlin,Payments,"1,600+ attendees incl. 500+ merchants, 52 countries (2026 edition)",1600,"Organizer, attend page and 2026 wrap-up",3,"Built around merchants meeting PSPs and acquirers: 500+ merchants plus PSPs, acquirers, fintechs and networks (organizer).",3,Aimed at senior payments decision-makers at merchants and PSPs; programme includes merchant treasury and finance.,2,"'Cross-border & global commerce' is a named programme theme: global acquiring, FX, local payment methods, international settlement.",3,"Niche 1,600-person room where nearly everyone works in payments.",High,Organizer quantifies merchants vs total and lists attendee types.,https://www.merchantpaymentsecosystem.com/attend/ ; https://www.merchantpaymentsecosystem.com/experience-mpe/conference-program/ ; https://www.merchantpaymentsecosystem.com/inteligence/mpe-2026-wrap-up-look-ahead-to-2027/
sibos,Sibos,2027,2027-09-20,2027-09-23,Confirmed,,Singapore,Singapore,Asia-Pacific,Marina Bay Sands,Banking & cross-border,"12,500+ registered participants, 168 countries (2025 edition)",12500,Organizer figures via IAPCO,1,"Bank/FI-dominated audience (200+ international banks, central banks, market infrastructures); cross-border fintechs and PSPs attend but are a minority, so the banks anchor gives Segment 1.",2,"Payments and transaction-banking leaders attend in numbers, mostly from banks; payments heads from fintechs and PSPs attend alongside them.",3,Cross-border payments is the headline theme of Swift's own event; the 2025 agenda was dominated by it.,1,"12,500+ participants, mostly bankers: Grain-relevant people are a small fraction.",Medium,"Attendee types described, no shares published.",https://www.sibos.com/about/future-sibos ; https://www.iapco.org/resource/frankfurt-delivers-a-landmark-week-for-sibos-2025.html ; https://www.fxcintel.com/research/analysis/sibos-2025-highlights
phocuswright,The Phocuswright Conference,2026,2026-11-17,2026-11-19,Confirmed,,Fort Lauderdale,USA,North America,,Travel,"~1,200 attendees (2024 record; total not published on site)",1200,"Phocuswright marketing director, quoted by Vendelux",3,"Travel companies and platforms are the primary audience (Expedia, Booking Holdings, Airbnb, Trip.com); 2026 programme features B2B distribution.",2,"65% C-level or VP (organizer): commercial and product leaders at travel platforms attend, alongside marketers, tech vendors and investors.",2,OTAs and global travel platforms are inherently multi-currency (our reading); payments and FX are not a programme theme.,2,"Senior travel-industry room of ~1,200: platforms are a large share, alongside suppliers, destinations and vendors.",High,Organizer publishes seniority shares and segments; attendance figure is second-hand.,https://www.phocuswrightconference.com/Attend ; https://www.phocuswrightconference.com/Program/Conference-Program-Overview ; https://vendelux.com/news/phocuswright-conference-2025-san-diego
itb-berlin,ITB Berlin,2027,2027-03-16,2027-03-18,Confirmed,,Berlin,Germany,Europe,Messe Berlin,Travel,"~97,000 attendees, ~6,000 exhibitors, 160+ countries (2026 edition)",97000,Organizer press releases,2,"The whole travel industry: tour operators, travel tech (6+ halls) and hospitality, alongside destinations and tourism boards. Grain's travel segments are a big part, not the whole.",2,"The ITB Buyers Circle brings senior decision-makers from 63 countries, but most of the floor is exhibitor sales and marketing staff.",2,International travel trade across 160+ countries: inbound and outbound travel businesses are inherently multi-currency.,1,"~97,000 attendees across every travel sector: relevant people are a small fraction.",Medium,Segments and halls described; no role shares published.,https://www.itb.com/en ; https://www.itb.com/en/press/press-releases/news_29377.html ; https://www.hospitalitynet.org/news/4131255/itb-berlin-2026-the-industry-sets-an-example-for-dialogue-and-resilience-in-uncertain-times
iata-wfs,IATA World Financial Symposium & World Passenger Symposium,2026,2026-10-28,2026-10-29,Confirmed,,Macao,China (Macao SAR),Asia-Pacific,Galaxy International Convention Center,Travel,"~1,250 delegates, 75+ airlines (2025 edition)",1250,Organizer event page,2,"Mixed airline finance, retailing and passenger-experience audience (75+ airlines plus providers and banks); airlines are FX-exposed travel businesses, but the room is not primarily our Core travel-platform/wholesaler segments.",2,"WFS draws airline finance and payments leaders, but it is co-located with the Passenger Symposium (retailing, passenger experience).",2,"The 2026 finance track covers 'managing volatility... hedging and financial risk management, controlling payment costs'.",2,"Niche aviation room of ~1,250, split between finance and passenger/retail audiences.",Medium,Attendee types described with airline count; no role shares.,https://www.iata.org/en/events/all/wfs--wps/ ; https://www.iata.org/en/pressroom/2026-releases/09-23-iata-brings-world-passenger-financial-symposium-to-macao ; https://www.iata.org/contentassets/458793104bcc4f73b1433d53b07eb9e1/wfswps2025_program.pdf
eurofinance,EuroFinance International Treasury Management,2027,2027-10-06,2027-10-08,Confirmed,,Amsterdam,Netherlands,Europe,RAI Amsterdam,Treasury & FX,"2,700+ senior treasury attendees, 60+ countries (2026 edition)",2700,Organizer event page,3,"International corporate treasury is the focused audience, and treasury is one of Grain's core segments.",3,"60% in leadership roles: group treasurers, C-level, directors and heads (organizer).",3,FX & commodities hedging and cross-border payments are dedicated programme streams at an international-treasury event.,2,"Mostly corporate treasurers, but with a large bank and vendor presence ('94% of corporates discovered new vendors').",High,Organizer publishes leadership share and audience type.,https://www.eurofinance.com/international-treasury-event/
afp,AFP Annual Conference,2026,2026-11-08,2026-11-11,Confirmed,,Las Vegas,USA,North America,Mandalay Bay Convention Center,Treasury & FX,"7,000+ treasury, payments, FP&A and corporate finance professionals",7000,Organizer about page,2,"Broad cross-industry corporate treasury and finance audience; treasury is central, but the organizer does not establish FX-exposed businesses as the primary company mix.",3,"Treasurers, controllers and CFOs are core audience roles (organizer).",1,"About a dozen FX and cross-border sessions within a broad treasury, FP&A and payments programme; mostly domestic.",1,"7,000+ attendees from analysts to CFOs, including FP&A and accounting: FX-exposed treasurers are a small fraction.",Medium,Roles listed without shares; FX count from session catalogue.,https://conference.financialprofessionals.org/program/overview/about-afp-conference ; https://conference.financialprofessionals.org/program/sessions/sessions
fintech-meetup,Fintech Meetup,2027,2027-02-22,2027-02-24,Confirmed,,Las Vegas,USA,North America,The Venetian,Fintech (broad),"5,000+ attendees, 1,000+ CEOs/founders, 700+ financial institutions",5000,Organizer site and 2027 press release,2,"Mixed fintech and bank/credit-union room (1,000+ CEOs and founders, 700+ financial institutions), rated as broad fintech rather than FI-dominated. Payments is present (Head of Payments is a listed role) but not the focus.",2,"40% C-level and 25% VP (organizer), but mostly bank, credit-union and fintech CEOs; payments buyers attend alongside many others.",1,"US-centric programme (2027 theme 'Built on Trust': AI, fraud, compliance); no cross-border track.",1,"US banks, credit unions and fintechs make up most of the room; Grain-relevant people are a small fraction (the double-opt-in meetings help target them).",High,Organizer publishes a job-level breakdown and sector list.,https://www.fintechmeetup.com/home ; https://finance.yahoo.com/technology/articles/fintech-meetup-unveils-built-trust-130000984.html
